OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state
331,330,Sudeste,Sao Paolo South,Pier de Mongaguá,-24.095718,-46.618552,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,São Paulo
15,14,Sudeste,NA,Praia Grande,-24.028497,-46.43831,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369,-46.288159,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.02566,-46.28546,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816,-46.314497,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
19,18,Sudeste,NA,Itaipu,-24.019545,-46.386796,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
20,19,Sudeste,NA,Guaiuba,-24.017082,-46.295202,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
21,20,Sudeste,NA,Santos,-24.015,-46.354,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
333,332,Sudeste,Sao Paolo South,Tombo,-24.01499,-46.272697,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,São Paulo
334,333,Sudeste,Sao Paulo North,Astúrias,-24.007738,-46.266475,3,2,Right and left,Beach-break,All surfers,2,2,1,3,São Paulo
335,334,Sudeste,Sao Paolo South,Pitangueiras Beach,-24.000936,-46.260767,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,São Paulo
22,21,Sudeste,NA,Morro do Maluf,-23.99756,-46.251594,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
23,22,Sudeste,NA,Praia da Enseada,-23.990651,-46.209406,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
336,335,Sudeste,Sao Paulo North,porta do sol,-23.981332,-46.373763,3.5,2,Right and left,Point-break,Experienced surfers,2,2,0,3.5,São Paulo
24,23,Sudeste,NA,Embare,-23.980866,-46.317684,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
25,24,Sudeste,NA,Gonzaga,-23.974027,-46.330098,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
337,336,Sudeste,Sao Paolo South,Itarare,-23.972333,-46.362004,3,3,Right and left,Beach-break,All surfers,2,3,1,3,São Paulo
338,337,Sudeste,Sao Paolo South,Santos,-23.971744,-46.347209,3,3,Right and left,Beach-break,All surfers,2,3,1,3,São Paulo
339,338,Sudeste,Sao Paolo South,"Praia de Pernambuco (Pernambuco Beach, in Guaruja)",-23.963431,-46.184034,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,São Paulo
26,25,Sudeste,NA,Pereque,-23.927583,-46.178826,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
340,339,Sudeste,Sao Paulo North,Bonete,-23.917383,-45.347786,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,São Paulo
341,340,Sudeste,Sao Paulo North,Sao Pedro,-23.908522,-46.166581,4,3,Right and left,Sand-bar,All surfers,2,3,1,4,São Paulo
342,341,Sudeste,Sao Paolo South,Praia de Iporanga,-23.902192,-46.152725,3.5,2,Left,Reef-rocky,Pros or kamikaze only...,1,2,0,3.5,São Paulo
343,342,Sudeste,Sao Paolo South,Taguaíba,-23.896726,-46.151354,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,São Paulo
27,26,Sudeste,NA,Praia Preta,-23.8747,-46.138959,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
