fid,name,surf_spot,quality,frequency,direction,type,experience
365,NA,Patiero,3.5,2,NA,Reef-rocky,Experienced surfers
366,NA,Vermelha do Norte,3.0,3,Right and left,Beach-break,All surfers
367,NA,Itamambuca,3.5,4,Right and left,Beach-break,All surfers
368,NA,Praia do Felix,3.5,3,Right and left,Beach-break,All surfers
369,NA,Brava do Camburi,3.0,3,Right and left,Beach-break,Experienced surfers
370,NA,Ponta do Cepílio,3.5,3,Right and left,Beach-break,Experienced surfers
371,NA,Laranjeiras,3.5,3,Right,Beach-break,All surfers
372,NA,Martim de Sa,3.5,3,Right and left,Beach-break,All surfers
373,NA,Aventureiro,3.5,4,Left,Point-break,All surfers
374,NA,Lopes Mendes,3.5,4,Right and left,Beach-break,Experienced surfers
375,NA,Barra de Guaratiba,4.0,2,Left,Rivermouth,Experienced surfers
376,NA,Laje do Dramin,3.5,2,Left,Reef-rocky,Pros or kamikaze only...
377,NA,Grumari,3.5,3,Right and left,Beach-break,Experienced surfers
378,NA,Prainha,3.5,4,Right and left,Beach-break,All surfers
379,NA,CcB,3.5,4,Right and left,Sand-bar,All surfers
380,NA,Macumba (Curvão),3.0,3,Right and left,Beach-break,All surfers
381,NA,Farorinha,3.0,2,Left,Beach-break,All surfers
382,NA,Canto do recreio,3.5,"NA",Right and left,Beach-break,All surfers
383,NA,Praia da Macumba,4.0,4,Right and left,Beach-break,All surfers
384,NA,posto 11 (Atlântico sul),3.5,3,Right and left,Sand-bar,All surfers
385,NA,Mambucaba,3.5,2,Right and left,Sand-bar,All surfers
386,NA,Posto 10 - Recreio,3.5,2,Right and left,Beach-break,Experienced surfers
387,NA,Recreio Posto 9,3.0,3,Right and left,Beach-break,Experienced surfers
388,NA,Lage Postinho,3.5,2,Right and left,Reef-rocky,Experienced surfers
389,NA,Joatinga,3.5,4,Right and left,Beach-break,All surfers
390,NA,Tropical (posto 1),3.5,4,Right and left,Beach-break,Experienced surfers
391,NA,Barra da Tijuca - Posto 8,3.5,4,Right and left,Sand-bar,All surfers
392,NA,Sao Conrado,3.5,"NA",Right and left,Beach-break,Experienced surfers
393,NA,Laje do sheraton,4.0,1,Right and left,Reef-rocky,Pros or kamikaze only...
394,NA,Pontão do leblon,3.5,3,Right,Point-break,Experienced surfers
395,NA,Arpoador,3.5,"NA",Right and left,Beach-break,All surfers
396,NA,Praia do Diabo,3.5,4,Right and left,Beach-break,All surfers
397,NA,Leblon,3.0,4,Right and left,Beach-break,All surfers
398,NA,Ipanema,3.0,3,Right and left,Beach-break,All surfers
399,NA,Shore break expresso escorpiao,3.5,2,Right,Reef-rocky,Pros or kamikaze only...
400,NA,Forte de Copacabana,3.0,2,Right,Point-break,All surfers
401,NA,Posto 5 - Copacabana,3.5,3,Right and left,Beach-break,Experienced surfers
402,NA,Praia Brava - Pontal do Atalaia,3.5,2,Left,Point-break,Experienced surfers
403,NA,Shock,5.0,2,Right,Reef-rocky,Pros or kamikaze only...
404,NA,Praia Grande - Arraial do Cabo,3.5,3,Right and left,Beach-break,All surfers
405,NA,Itacoatiara,3.5,3,Right and left,Beach-break,Experienced surfers
406,NA,Canal de Camboinhas,2.0,3,Right and left,breakwater/jetty,Beginners wave
407,NA,Camboinhas,3.5,2,Right and left,Sand-bar,Experienced surfers
408,NA,Leme,3.0,3,Left,Sand-bar,All surfers
409,NA,Ponta Negra - Maricá - RJ,3.0,3,Right and left,Beach-break,All surfers
410,NA,Piratininga,3.0,3,Right and left,Beach-break,All surfers
411,NA,Massambaba,3.5,4,Right and left,Sand-bar,Experienced surfers
412,NA,Lage de fora,4.0,2,Left,Reef-rocky,Don't know
413,NA,Arraial do Cabo,3.5,2,Left,Reef-coral,Experienced surfers
414,NA,Itauna,4.0,4,Right and left,Point-break,All surfers
415,NA,Backdoor,3.0,3,Right,Reef-rocky,Experienced surfers
416,NA,Saquarema - Itauna Beach,3.5,4,Right and left,Beach-break,All surfers
417,NA,Saquarema - Praia da Vila,3.5,3,Right and left,Beach-break,All surfers
418,NA,Praia do Foguete - Cabo Frio,3.0,3,Right and left,Sand-bar,NA
419,NA,Flamengo,3.5,1,Left,Point-break,Experienced surfers
420,NA,prainha de adão e eva,3.5,1,Right and left,Beach-break,All surfers
421,NA,Itapuca,3.5,2,Right and left,Reef-rocky,All surfers
422,NA,Praia Brava - Cabo Frio,3.5,2,Right and left,Beach-break,All surfers
