objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
214,NA,Saraiva,0.147280053,0.1090909091,0,0.2563709621,0.118551485
215,NA,Molhes,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
216,NA,Passo de Torres,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
217,NA,Gaivota,0.04581097,0,0,0.04581097,0.0211839846
218,NA,Arroio do Silva,0.0303074023,0,0,0.0303074023,0.0140147992
219,NA,Morro dos Conventos,0.0436055002,0,0,0.0436055002,0.0201641276
220,NA,Rincão,0.0553293562,0,0,0.0553293562,0.0255854925
221,NA,Jaguaruna,0.1002917753,0.0181818182,0,0.1184735935,0.0547847554
222,NA,Camacho,0.1002917753,0.0181818182,0,0.1184735935,0.0547847554
223,NA,Cigana,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
224,NA,Cardozo,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
225,NA,Cemiterio,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
226,NA,Prainha do Farol,0.0412441374,0.0181818182,0,0.0594259556,0.0274798488
227,NA,Ipoa,0,0.1090909091,0,0.1090909091,0.0504459989
228,NA,Teresa,0,0.1090909091,0,0.1090909091,0.0504459989
229,NA,Praia de Cima,0,0.1090909091,0,0.1090909091,0.0504459989
230,NA,Laguna,0,0.1090909091,0,0.1090909091,0.0504459989
231,NA,Cavalinho,0,0.1090909091,1,1.1090909091,0.5128676554
232,NA,Itapirubá,0,0,1,1,0.4624216565
233,NA,Itapirubá Norte,0,0,1,1,0.4624216565
234,NA,Castelinho,0,0,0,0,0
235,NA,Praia da Vila,0,0,0,0,0
236,NA,Ribanceira,0,0,0,0,0
237,NA,Ibiraquera,0,0,0,0,0
238,NA,Rosa Sul,0.0236803857,0,0,0.0236803857,0.0109503232
239,NA,Rosa Norte,0.0236803857,0,0,0.0236803857,0.0109503232
240,NA,Vermelha,0.0236803857,0,0,0.0236803857,0.0109503232
241,NA,Ouvidor,0.0236803857,0,0,0.0236803857,0.0109503232
242,NA,Barrinha,0.0236803857,0,0,0.0236803857,0.0109503232
243,NA,Ferrugem,0.0236803857,0,0,0.0236803857,0.0109503232
244,NA,Praia do Silveira,0.0236803857,0,0,0.0236803857,0.0109503232
245,NA,Garopaba Centro,0.0355205786,0,0,0.0355205786,0.0164254848
246,NA,Siriu,0.0786827575,0,0,0.0786827575,0.0363846111
247,NA,Gamboa,0.0786827575,0,0,0.0786827575,0.0363846111
248,NA,Guarda do embau,0.1698490512,0,0,0.1698490512,0.0785418796
249,NA,Costão da Pinheira,0.1698490512,0,0,0.1698490512,0.0785418796
250,NA,Naufragados,0.2264654015,0,0,0.2264654015,0.1047225061
251,NA,Solidao - Caladinho,0.3041775237,0,0,0.3041775237,0.1406582744
252,NA,Praia dos Açores,0.3041775237,0,0,0.3041775237,0.1406582744
253,NA,Lagoinha do Leste,0.443347932,0,0,0.443347932,0.2050136851
254,NA,Matadeiro,0.3041775237,0,0,0.3041775237,0.1406582744
255,NA,Armação,0.3041775237,0,0,0.3041775237,0.1406582744
256,NA,Caldeirao,0.3041775237,0,1,1.3041775237,0.6030799309
257,NA,Morro das Pedras,0.443347932,0,1,1.443347932,0.6674353416
258,NA,Campeche Rights,0.443347932,0,1,1.443347932,0.6674353416
259,NA,Riozinho,0.443347932,0,1,1.443347932,0.6674353416
260,NA,Joaquina,0.443347932,0.1454545455,0,0.5888024775,0.272275017
261,NA,Praia Mole,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
262,NA,Galheta,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
263,NA,Barra da Lagoa,0.443347932,0.0545454545,0,0.4978933865,0.2302366846
264,NA,Mocambique,0.443347932,0.3454545455,0,0.7888024775,0.3647593483
265,NA,Ponta das Aranhas,0.443347932,0.3636363636,0,0.8069842956,0.3731670148
266,NA,Santinho,0.443347932,0.3636363636,0,0.8069842956,0.3731670148
267,NA,Canasvieiras,0.4075847594,0.0363636364,0,0.4439483958,0.2052913526
268,NA,Praia do Forte,0.2962261841,0.0181818182,0,0.3144080023,0.1453890692
